Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

P10        2x6_header,_right_angle       4365mil       2605mil       4365mil       2605mil       4615mil       2655mil  T        180.00 2 x 6 header   
R13        0402                  4825mil        875mil       4825mil        875mil   4805.315mil        875mil  B        360.00 3.3K           
R14        0402                  4825mil        935mil       4825mil        935mil   4805.315mil        935mil  B        360.00 3.3K           
R15        0402                  4825mil       1005mil       4825mil       1005mil   4805.315mil       1005mil  B        360.00 3.3K           
R16        0402                  4825mil       1065mil       4825mil       1065mil   4805.315mil       1065mil  B        360.00 3.3K           
R19        0402                  2075mil       2340mil       2075mil       2340mil       2075mil   2359.685mil  T        270.00 33             
R20        0402                  2055mil       1695mil       2055mil       1695mil       2055mil   1675.315mil  T         90.00 49.9           
R21        0402                  2135mil       1700mil       2135mil       1700mil       2135mil   1719.685mil  T        270.00 10K            
R22        0402                  2035mil       2340mil       2035mil       2340mil       2035mil   2359.685mil  T        270.00 33             
R23        0402                  1955mil       2420mil       1955mil       2420mil   1935.315mil       2420mil  T          0.00 10K            
R24        0402                  1975mil       2350mil       1975mil       2350mil       1975mil   2369.685mil  T        270.00 10K            
R25        0402                  1955mil       1720mil       1955mil       1720mil   1935.315mil       1720mil  T          0.00 49.9           
R26        0402                  2315mil       1840mil       2315mil       1840mil       2315mil   1859.685mil  T        270.00 4.7K           
R27        0402                  2375mil       2020mil       2375mil       2020mil   2394.685mil       2020mil  T        180.00 33             
R28        0402                  1735mil       1940mil       1735mil       1940mil   1715.315mil       1940mil  T          0.00 49.9           
R29        0402                  2375mil       1980mil       2375mil       1980mil   2394.685mil       1980mil  T        180.00 33             
R30        0402                  2375mil       2095mil       2375mil       2095mil   2394.685mil       2095mil  T        180.00 33             
R32        0402                  1735mil       2020mil       1735mil       2020mil   1715.315mil       2020mil  T          0.00 49.9           
R33        0402                  1915mil       1760mil       1915mil       1760mil   1934.685mil       1760mil  T        180.00 6.49K          
R34        0402                  1875mil       2330mil       1875mil       2330mil   1855.315mil       2330mil  T          0.00 10K            
R35        0402                  1875mil       2290mil       1875mil       2290mil   1855.315mil       2290mil  T          0.00 10K            
R36        0402              1735.315mil       2060mil   1735.315mil       2060mil       1755mil       2060mil  T        180.00 4.7K           
R37        0402                  2215mil       2260mil       2215mil       2260mil   2234.685mil       2260mil  T        180.00 10K            
R38        0402              1735.315mil       2260mil   1735.315mil       2260mil       1755mil       2260mil  T        180.00 4.7K           
R39        0402                  1625mil       2285mil       1625mil       2285mil       1625mil   2265.315mil  T         90.00 10K            
R40        0402                  1630mil       2115mil       1630mil       2115mil       1630mil   2134.685mil  T        270.00 10K            
R41        0402              1735.315mil       2140mil   1735.315mil       2140mil       1755mil       2140mil  T        180.00 10K            
R42        0402                  1650mil       2180mil       1650mil       2180mil   1669.685mil       2180mil  T        180.00 270            
R43        0402              1735.315mil       2100mil   1735.315mil       2100mil       1755mil       2100mil  T        180.00 10K            
R45        0402                  1650mil       2220mil       1650mil       2220mil   1669.685mil       2220mil  T        180.00 270            
R46        J1-0603                235mil       1370mil        235mil       1370mil        235mil   1340.473mil  B         90.00 5M             
R55        0402                  3150mil         85mil       3150mil         85mil   3130.315mil         85mil  T        360.00 10K            
R56        0402                  2500mil         90mil       2500mil         90mil   2519.685mil         90mil  T        180.00 10K            
R57        0402                  3080mil        620mil       3080mil        620mil   3099.685mil        620mil  T        180.00 10K            
R47        0402                  1125mil        185mil       1125mil        185mil   1144.685mil        185mil  B        180.00 Res3           
R66        0402                  3700mil        100mil       3700mil        100mil   3719.685mil        100mil  T        180.00 750            
R48        0402                  1125mil        260mil       1125mil        260mil   1144.685mil        260mil  B        180.00 Res3           
R49        0402                  1510mil       2350mil       1510mil       2350mil       1510mil   2330.315mil  B         90.00 10K            
R50        0402                  1275mil       1710mil       1275mil       1710mil       1275mil   1729.685mil  B        270.00 698            
R51        0402                  1865mil       2555mil       1865mil       2555mil   1845.315mil       2555mil  B          0.00 33             
R52        0402                  1865mil       2505mil       1865mil       2505mil   1845.315mil       2505mil  B          0.00 33             
R53        0402                  2110mil   2552.599mil       2110mil   2552.598mil   2090.315mil   2552.599mil  T        360.00 33             
R54        0402                  2125mil       2340mil       2125mil       2340mil       2125mil   2359.685mil  T        270.00 33             
R67        0402                  2210mil        600mil       2210mil        600mil   2190.315mil        600mil  T        360.00 10K            
R68        0402                  1875mil        550mil       1875mil        550mil       1875mil    569.685mil  T        270.00 49.9           
R69        0402                  4665mil       2425mil       4665mil       2425mil       4665mil   2444.685mil  T        270.00 1K             
R70        0402                  4310mil       2425mil       4310mil       2425mil       4310mil   2405.315mil  T         90.00 1K             
R71        0402                  3310mil        810mil       3310mil        810mil       3310mil    790.315mil  T         90.00 1K             
R72        0402                  4610mil       2425mil       4610mil       2425mil       4610mil   2444.685mil  T        270.00 33             
R73        0402                  4565mil       2425mil       4565mil       2425mil       4565mil   2405.315mil  T         90.00 33             
R74        0402                  4410mil       2425mil       4410mil       2425mil       4410mil   2444.685mil  T        270.00 33             
R75        0402                  4260mil       2425mil       4260mil       2425mil       4260mil   2405.315mil  T         90.00 33             
R78        0402                  5065mil       1725mil       5065mil       1725mil   5045.315mil       1725mil  T        360.00 750            
R79        0402                  5065mil       1775mil       5065mil       1775mil   5084.685mil       1775mil  T        180.00 1.2K           
R84        0402                   810mil       2610mil        810mil       2610mil    829.685mil       2610mil  B        180.00 1K             
R85        0402                   905mil       2610mil        905mil       2610mil    924.685mil       2610mil  B        180.00 1K             
SW1        KSC403                2630mil        475mil       2630mil        475mil   2515.827mil     553.74mil  T        360.00 Switch 4-lead  
SW2        KSC403                3030mil        475mil       3030mil        475mil   2915.827mil     553.74mil  T        360.00 Switch 4-lead  
SW3        KSC403                2630mil        225mil       2630mil        225mil   2744.173mil     146.26mil  T        180.00 Switch 4-lead  
SW4        KSC403                3030mil        225mil       3030mil        225mil   3144.173mil     146.26mil  T        180.00 Switch 4-lead  
SW5        EVQPA_PB              2015mil        560mil       2015mil        560mil   2142.953mil    471.417mil  T        180.00 Switch 4-lead  
U2         BGA54C75P9X6_1000X800X70       3180mil       2405mil       3180mil       2405mil   3253.819mil    2523.11mil  B        180.00 MT45W8MW16BGX-701 IT TR
U5         TSQFP50P900X900X160-48N       4395mil       1575mil       4395mil       1575mil   4555.433mil   1466.732mil  T        180.00 AD9288BSTZ-100 
U8         TSQFP50P900X900X160-48N       2055mil       2020mil       2055mil       2020mil   2215.433mil   1911.732mil  T        180.00 KSZ8721CL      
U10        TQFN-48               5265mil       1445mil       5265mil       1445mil   5156.732mil   1310.158mil  T         90.00 MAX2831ETM+    
U17        SOT23-5               3900mil         90mil       3900mil         90mil   3850.787mil    127.402mil  T        360.00 REG102NA-2.85/250
U18        SOT363-6N             5300mil        750mil       5300mil        750mil   5325.591mil    787.402mil  T        270.00 AS213-92LF     
U12        SSOP65P780X200-28N        940mil       2535mil        940mil       2535mil   1106.339mil   2669.843mil  T        270.00 FT232RL        
U14        SOT23-5               2180mil       2590mil       2180mil       2590mil   2130.787mil   2552.598mil  B        360.00 TPS78918DBVR   
Y1         ABM3                  3615mil        815mil       3615mil        815mil   3534.291mil        815mil  B        360.00 ABM3-20.000MHZ-B2-T
Y2         CB3_CB3LV             1670mil       2495mil       1670mil       2495mil   1587.323mil       2395mil  B         90.00 CB3LV-3C-50M0000
U6         SOT23-3N              4665mil        590mil       4665mil        590mil   4627.598mil    627.402mil  B        270.00 MAX6061AEUR+T  
J1         TestPoint             4665mil       1425mil       4665mil       1425mil       4665mil       1425mil  T         90.00 5004           
C54        0402                  4275mil       2235mil       4275mil       2235mil       4275mil   2254.685mil  T        270.00 100pF          
C15        0402                  2975mil        920mil       2975mil        920mil       2975mil    900.315mil  B         90.00 0.1uF          
C16        0402                  2680mil       1185mil       2680mil       1185mil   2660.315mil       1185mil  T        360.00 0.1uF          
C17        0402                  2710mil       1055mil       2710mil       1055mil   2690.315mil       1055mil  B        360.00 0.1uF          
J2         TestPoint             4745mil       1985mil       4745mil       1985mil       4745mil       1985mil  T         90.00 5004           
C147       0402                   710mil       2455mil        710mil       2455mil        710mil   2435.315mil  T         90.00 47pF           
C148       0402                   710mil       2585mil        710mil       2585mil        710mil   2604.685mil  T        270.00 47pF           
C14        0402                  2665mil       1720mil       2665mil       1720mil   2645.315mil       1720mil  T        360.00 0.1uF          
C18        0402                  2815mil       1945mil       2815mil       1945mil       2815mil   1964.685mil  T        270.00 0.1uF          
C19        0402                  3245mil       1930mil       3245mil       1930mil       3245mil   1949.685mil  B        270.00 0.1uF          
C20        0402                  3744mil       1035mil       3744mil       1035mil   3763.685mil       1035mil  B        180.00 0.1uF          
C21        0402                  3750mil       1210mil       3750mil       1210mil   3769.685mil       1210mil  T        180.00 0.1uF          
C22        0402                  3745mil       1165mil       3745mil       1165mil   3764.685mil       1165mil  T        180.00 0.1uF          
C23        0402                  3490mil        875mil       3490mil        875mil       3490mil    855.315mil  T         90.00 0.1uF          
C24        0402                  2585mil       1255mil       2585mil       1255mil   2565.315mil       1255mil  T        360.00 0.1uF          
C25        0402                  2680mil       1645mil       2680mil       1645mil   2660.315mil       1645mil  T        360.00 0.1uF          
C26        0402                  2690mil       1370mil       2690mil       1370mil   2670.315mil       1370mil  B        360.00 0.1uF          
C27        0402                  2680mil       1155mil       2680mil       1155mil   2660.315mil       1155mil  B        360.00 0.1uF          
C32        0402                  3060mil        915mil       3060mil        915mil       3060mil    895.315mil  B         90.00 0.1uF          
C33        0402                  3155mil        915mil       3155mil        915mil       3155mil    895.315mil  B         90.00 0.1uF          
C34        0402                  3205mil        915mil       3205mil        915mil       3205mil    895.315mil  B         90.00 0.1uF          
C35        0402                  3380mil        915mil       3380mil        915mil       3380mil    895.315mil  B         90.00 0.1uF          
C36        0402                  2680mil       1605mil       2680mil       1605mil   2660.315mil       1605mil  T        360.00 0.1uF          
C37        0402                  3025mil       1950mil       3025mil       1950mil       3025mil   1969.685mil  T        270.00 0.1uF          
C38        0402                  3755mil       1255mil       3755mil       1255mil   3774.685mil       1255mil  T        180.00 0.1uF          
C28        0402                  3075mil       1950mil       3075mil       1950mil       3075mil   1969.685mil  T        270.00 0.1uF          
C29        0402                  3595mil       1900mil       3595mil       1900mil   3614.685mil       1900mil  B        180.00 0.1uF          
C30        0402                  3745mil       1685mil       3745mil       1685mil   3764.685mil       1685mil  T        180.00 0.1uF          
C31        0402                  3750mil       1555mil       3750mil       1555mil   3769.685mil       1555mil  T        180.00 0.1uF          
C49        C0805                 3360mil        790mil       3360mil        790mil       3360mil    819.528mil  B        270.00 10uF           
FB1        1608[0603]            4680mil       2300mil       4680mil       2300mil   4707.559mil       2300mil  T        180.00 BLM18PG300SN1D 
